No.	rev_datemodified	locale	file_name	h1	product	ssi_header	globalfooter	header	author2	author3	keywords	columntype	pod	topiccenter	rev_datecreated	article_title	area	fullwidth	commentWidget	page_total	page_number	editor	products	commentRating	columns	fma	head	printLayout	description	shorttitle	promo	robots	ROBOTS	breadcrumb	flashdetection	MMlocale	devCtrNav	datemodified	identity	lang	topic	globalnav	level	url	ssi_syntax	dropdown,pod,tab,tree,map	author	modules	datecreated	devCtrAccordion	user_level	blurb	contentarea	Keywords	title	page	
2	27 June 2006	en_us	action_script		Flex						Flex Builder 2, ActionScript 3.0, Flash Player	novalue		novalue	27 June 2006	Tips for learning ActionScript 3.0	devnet		true	1	1	Michael Koch	Actionscript	true	1		flash	false		Tips for learning ActionScript 3.0		noodp					true	27 June 2006		en-us			Intermediate	www.adobe.com/devnet/actionscript/articles/actionscript_tips.html		dropdown	Emmy Huang		27 June 2006	true	3	Get a head start on ActionScript 3.0 with these tips and common issues you might encounter during development.	Adobe Developer Connection		Tips for learning ActionScript 3.0 | Adobe Developer Connection	main	
3	27 June 2006	en_us	actionscript3_overview		flex				Emmy Huang		object-oriented language, features, classes, ECMAScript for XML, E4X, Flash Player	novalue		ActionScript	27 June 2006	ActionScript 3.0 overview	devnet		true	1	1	Stefan Gruenwedel	Actionscript	true	1		flash	false		ActionScript 3.0 overview		noodp					true	27 June 2006		en-us			All	www.adobe.com/devnet/actionscript/articles/actionscript3_overview.html		dropdown	Gary Grossman		27 June 2006	true	0	Learn how advances in this powerful object-oriented programming language helps developers achieve excellent productivity and performance with content and applications that target Flash Player.	Adobe Developer Connection		ActionScript 3.0 overview | Adobe Developer Connection	main	
4	24 April 2009	en_us	as3_benefits		Flash						as3, migration, cookbook, benefits, compiler errors, gotchas, misperceptions	article		novalue	24 April 2009	Top five benefits of ActionScript 3			true	1	1	Stefan Gruenwedel	Flash	true	1		devnet	false	Find out what some of the top advantages are of using ActionScript 3 in your projects.	Top five benefits of ActionScript 3		noodp					true	24 April 2009		en-us			All	www.adobe.com/devnet/actionscript/articles/as3_benefits.html		accordion,dropdown	Adobe		24 April 2009	true	0	Find out what some of the top advantages are of using ActionScript 3 in your projects.	Adobe Developer Connection		Top five benefits of ActionScript 3 | Adobe Developer Connection	main	
5	19 February 2007	en_us	as3_cookbook_excerpts		flex						ActionScript 3.0, cookbook, custom classes, display list, display objects, arrays, loops, book excerpt, external content, detect display settings, timers, rich internet applications	novalue		ActionScript Technology Center	19 February 2007	ActionScript 3.0 Cookbook excerpts: From custom classes to the rendering model	devnet		true	1	1	Tommi West	Flash, Flex	true	1		flash	false		ActionScript 3.0 Cookbook excerpts: From custom classes to the rendering model		noodp					true	19 February 2007		en-us			intermediate	www.adobe.com/devnet/actionscript/articles/as3_cookbook_excerpts.html		dropdown,pod	AS3 Cookbook		19 February 2007	true	3	Download five complete chapters from this coding how-to book from O\'Reilly Media to get the most out of this full-fledged development environment.	Adobe Developer Connection		ActionScript 3.0 Cookbook excerpts: From custom classes to the rendering model | Adobe Developer Connection	main	
6	24 April 2009	en_us	as3_misperceptions		Flash						as3, migration, cookbook, benefits, compiler errors, gotchas, misperceptions	article		novalue	24 April 2009	Top five misperceptions about ActionScript 3			true	1	1	Stefan Gruenwedel	Flash	true	1		devnet	false	Read about the misheld beliefs some people have about ActionScript 3.	Top five misperceptions about ActionScript 3		noodp					true	24 April 2009		en-us			All	www.adobe.com/devnet/actionscript/articles/as3_misperceptions.html		accordion,dropdown	Adobe		24 April 2009	true	0	Read about the misheld beliefs some people have about ActionScript 3.	Adobe Developer Connection		Top five misperceptions about ActionScript 3 | Adobe Developer Connection	main	
7	22 December 2008	en_us	as3_quick_ref		Flash						motion, migration, display list, events, excerpt	article		novalue	22 December 2008	ActionScript 3.0 Quick Reference Guide excerpts: Copy motion, display list, events, and migration			true	1	1	Stefan Gruenwedel	Flash	true	1		devnet	false	Read these four book excerpts from O\\\\\\\\\\\\\\\'Reilly Media so you can make the leap from ActionScript 2.0 to ActionScript 3.0 quickly and painlessly.	ActionScript 3.0 Quick Reference Guide excerpts: Copy motion, display list, events, and migration		noodp					true	22 December 2008		en-us			Beginner	www.adobe.com/devnet/actionscript/articles/as3_quick_ref.html		accordion,dropdown	as3_quick_ref		22 December 2008	true	1	Read these four book excerpts from O\'Reilly Media so you can make the leap from ActionScript 2.0 to ActionScript 3.0 quickly and painlessly.	Adobe Developer Connection		ActionScript 3.0 Quick Reference Guide excerpts: Copy motion, display list, events, and migration | Adobe Developer Connection	main	
8	2 January 2009	en_us	as3_tour		Flash						From the Ground Up Tour, overview, core language, runtime API, components, SWF, development tools, virtual zoo	article		novalue	11 February 2008	ActionScript 3.0 from the ground up	devnet		true	1	1	Stefan Gruenwedel	ActionScript, Flex, Flash	true	1		flash	false		ActionScript 3.0 from the ground up		noodp					true	2 January 2009		en-us			Beginner/Intermediate	www.adobe.com/devnet/actionscript/articles/as3_tour.html		dropdown	Colin Moock		11 February 2008	true	2	Download the notes handed out at Colin Moock\'s international ActionScript 3.0 tour covering the fundamental skills needed to program for Flash Player and Adobe AIR.	Adobe Developer Connection		ActionScript 3.0 from the ground up | Adobe Developer Connection	main	
9	17 November 2008	en_us	atp_ria_guide		Flex						ActionScript API, runtime, RIA development, Flex framework	article		novalue	17 March 2008	Adobe Flash Platform ActionScript reference for RIA development	devnet		true	1	1	Stefan Gruenwedel	Adobe AIR, Flash, Flex	true	1		flash	false		Adobe Flash Platform ActionScript reference for RIA development		noodp					true	17 November 2008		en-us			Advanced	www.adobe.com/devnet/actionscript/articles/atp_ria_guide.html		accordion,dropdown	Adobe		17 March 2008	true	5	Use this guide both as an API reference and a tool to learn about the ActionScript APIs available within Adobe AIR, Flash Player, and the Flex framework.	Adobe Developer Connection		Adobe Flash Platform ActionScript reference for RIA development | Adobe Developer Connection	main	
10	3 December 2007	en_us	cue_points_audio		flex						Sound class, cue points, audio, synchronize, external, MP3, migrate, migration, AS2, AS3, ActionScript 2.0, ActionScript 3.0	novalue		ActionScript	9 October 2006	Handling cue points for audio files in ActionScript 2.0 and ActionScript 3.0	devnet		true	3	1	Stefan Gruenwedel	Flash	true	1		flash	false		Handling cue points for audio files in ActionScript 2.0 and ActionScript 3.0		noodp					true	3 December 2007		en-us			Intermediate	www.adobe.com/devnet/actionscript/articles/cue_points_audio.html		dropdown	David Stiller		9 October 2006	true	3	Create a custom Sound class that makes it easy to use cue points for internal sound assets or external MP3s in your Flash or Flex applications.	Adobe Developer Connection		Handling cue points for audio files in ActionScript 2.0 and ActionScript 3.0 | Adobe Developer Connection	main	
11	5 March 2007	en_us	display_api		actionscript						ActionScript 2.0, ActionScript 3.0, display API, FLA, migration, language, DisplayObject, Shape, MovieClip, Sprite	article		novalue	5 March 2007	Understanding the changes in the display API in ActionScript 3.0	devnet		true	1	1	Amy Wong	Actionscript	true	1		flash	false		Understanding the changes in the display API in ActionScript 3.0		noodp					true	5 March 2007		en-us			beginner	www.adobe.com/devnet/actionscript/articles/display_api.html		dropdown	Bill Lee		5 March 2007	true	1	Take this guided tour through two code samples to learn the differences in the display API from ActionScript 2.0 to 3.0.	Adobe Developer Connection		Understanding the changes in the display API in ActionScript 3.0 | Adobe Developer Connection	main	
